UIDLU,Site name,Latitude,Longitude
LU001,D'Entrecasteaux River at South Cape Rd,-43.50856274,146.8744323249162
LU002,D'Entrecasteaux River at South Cape Rd,-43.50856274,146.8744323249162
LU003,Mesa Creek at North Lune Rd,-43.41033457,146.8521933301346
LU004,Mesa Creek at North Lune Rd,-43.41033457,146.8521933301346
LU005,Hot Springs Creek at North Lune Rd,-43.40193473,146.8604014574692
LU006,Hot Springs Creek at North Lune Rd,-43.40193473,146.8604014574692
LU007,Creekton Rivulet at Creekton Rd,-43.37325369,146.89202999888843
LU008,Creekton Rivulet at Creekton Rd,-43.37325369,146.89202999888843
LU009,Peak Rivulet off Peak Rivulet Rd,-43.31677005,146.89402921940112
LU010,Peak Rivulet off Peak Rivulet Rd,-43.31677005,146.89402921940112
LU011,Esperence Trib off Esperence River Rd,-43.25908132,146.84939332488125
LU012,Esperence Trib off Esperence River Rd,-43.25908132,146.84939332488125
LU013,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU014,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU015,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU016,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU017,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU018,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU019,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU020,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU021,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU022,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU023,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU024,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU025,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU026,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU027,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU028,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU029,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU030,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU031,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU032,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU033,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU034,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU035,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU036,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU037,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU038,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU039,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU040,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU041,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU042,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU043,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU044,Esperance River at Esperance River Rd,-43.25319165,146.8358565178402
LU045,Garden Island Creek at Garden Island Ck,-43.2344018,147.1555706497453
LU046,Farmhouse Creek at Picton Rd,-43.23166681,146.6680725888885
LU047,Farmhouse Creek at Picton Rd,-43.23166681,146.6680725888885
LU048,Picton River ds Farmhouse Creek,-43.22910415,146.68205116196015
LU049,Picton River ds Farmhouse Creek,-43.22910415,146.68205116196015
LU050,Garden Island creek ds Cunninghams Road,-43.22491,147.16934
LU051,Garden Island Ck off Island Creek Rd,-43.21079262,147.17933211664715
LU052,Garden Island Ck off Island Creek Rd,-43.21079262,147.17933211664715
LU053,Garden Island Creek at Flat Rock,-43.20924,147.18192999999997
LU054,Cook Creek at Picton Rd,-43.18884383,146.64237509626548
LU055,Cook Creek at Picton Rd,-43.18884383,146.64237509626548
LU056,South Creek upstream Kermandie river,-43.18658,146.88263
LU057,South Creek us Kermandie River,-43.18610911,146.88192501505648
LU058,South Creek us Kermandie River,-43.18610911,146.88192501505648
LU059,kermandie R @ ohallorans rd,-43.18606,146.88225999999997
LU060,kermandie R @ ohallorans rd,-43.18606,146.88225999999997
LU061,kermandie R @ ohallorans rd,-43.18606,146.88225999999997
LU062,Kermandie Creek upstream of South Creek,-43.18584,146.88152999999997
LU063,Kermandie Creek upstream of South Creek,-43.18584,146.88152999999997
LU064,Kermandie river upstream of South Creek,-43.18565,146.88059999999996
LU065,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU066,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU067,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU068,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU069,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU070,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU071,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU072,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU073,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU074,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU075,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU076,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU077,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU078,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU079,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU080,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU081,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU082,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU083,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU084,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU085,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU086,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU087,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU088,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU089,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU090,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU091,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU092,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU093,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU094,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU095,Kermandie River at Oigles Road,-43.18530431,146.87870246646432
LU096,Cowen Joe property dam,-43.18229,147.14384
LU097,Gardners Creek at 1 bridge Woodbridge Rd,-43.18115,147.11364
LU098,Gardners Creek at 1 bridge Woodbridge Rd,-43.18115,147.11364
