wkt_geom,Site code,Site name,Source,Date,Longitude,Latitude,Latnoneg,Number of,Number o_1,SIGNALT Sc,SIGNALT _1,WKT,East,North,Year
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",10/03/2010,145.5150765,-41.28009237,41.28009237,2,19,5.6,6.9,POINT (145.5150765 -41.28009237),375643.996,5429086,2010
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",10/10/2007,145.5150765,-41.28009237,41.28009237,15,22,5.4,6.9,POINT (145.5150765 -41.28009237),375643.996,5429086,2007
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",11/03/2009,145.5150765,-41.28009237,41.28009237,2,20,5.2,6.7,POINT (145.5150765 -41.28009237),375643.996,5429086,2009
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",12/04/2016,145.5150765,-41.28009237,41.28009237,0,22,5,6,POINT (145.5150765 -41.28009237),375643.996,5429086,2016
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",13/03/2008,145.5150765,-41.28009237,41.28009237,3,17,5.7,6.9,POINT (145.5150765 -41.28009237),375643.996,5429086,2008
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",14/03/2012,145.5150765,-41.28009237,41.28009237,0,15,4.9,6.7,POINT (145.5150765 -41.28009237),375643.996,5429086,2012
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",14/10/2008,145.5150765,-41.28009237,41.28009237,5,27,5.1,6.7,POINT (145.5150765 -41.28009237),375643.996,5429086,2008
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",17/03/2004,145.5150765,-41.28009237,41.28009237,15,27,4.5,6.5,POINT (145.5150765 -41.28009237),375643.996,5429086,2004
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",20/09/2006,145.5150765,-41.28009237,41.28009237,17,29,4.8,6.7,POINT (145.5150765 -41.28009237),375643.996,5429086,2006
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",21/03/2007,145.5150765,-41.28009237,41.28009237,2,30,4.2,6.1,POINT (145.5150765 -41.28009237),375643.996,5429086,2007
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",21/09/2005,145.5150765,-41.28009237,41.28009237,5,30,4.4,6.5,POINT (145.5150765 -41.28009237),375643.996,5429086,2005
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",24/03/2005,145.5150765,-41.28009237,41.28009237,2,28,4.1,6,POINT (145.5150765 -41.28009237),375643.996,5429086,2005
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",27/10/2004,145.5150765,-41.28009237,41.28009237,5,21,5.5,7.1,POINT (145.5150765 -41.28009237),375643.996,5429086,2004
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",28/10/2015,145.5150765,-41.28009237,41.28009237,0,17,4.5,6.2,POINT (145.5150765 -41.28009237),375643.996,5429086,2015
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",29/03/2006,145.5150765,-41.28009237,41.28009237,5,27,4.8,6.2,POINT (145.5150765 -41.28009237),375643.996,5429086,2006
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",29/10/2003,145.5150765,-41.28009237,41.28009237,26,20,5.6,7.1,POINT (145.5150765 -41.28009237),375643.996,5429086,2003
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",3/03/2014,145.5150765,-41.28009237,41.28009237,0,27,5,7,POINT (145.5150765 -41.28009237),375643.996,5429086,2014
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",4/11/2009,145.5150765,-41.28009237,41.28009237,7,22,5.5,7.1,POINT (145.5150765 -41.28009237),375643.996,5429086,2009
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",5/09/2007,145.5150765,-41.28009237,41.28009237,10,24,5.2,7,POINT (145.5150765 -41.28009237),375643.996,5429086,2007
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",5/10/2011,145.5150765,-41.28009237,41.28009237,4,20,5.7,7,POINT (145.5150765 -41.28009237),375643.996,5429086,2011
